id,price
0,65
1,57
2,225
3,175
4,125
5,100
6,39
7,70
8,75
9,195
10,154
11,47
12,90
13,47
14,100
15,94
16,39
17,110
18,125
19,325
20,95
21,32
22,200
23,100
24,200
25,175
26,80
27,195
28,70
29,100
30,95
31,110
32,109
33,90
34,119
35,58
36,60
37,79
38,40
39,99
40,90
41,50
42,80
43,250
44,130
45,97
46,229
47,115
48,70
49,165
50,260
51,333
52,80
53,42
54,77
55,177
56,155
57,190
58,95
59,120
60,95
61,130
62,145
63,60
64,75
65,165
66,100
67,109
68,98
69,500
70,335
71,50
72,133
73,179
74,69
75,199
76,200
77,200
78,40
79,150
80,180
81,130
82,274
83,85
84,100
85,129
86,70
87,65
88,129
89,60
90,30
91,275
92,60
93,165
94,95
95,175
96,50
97,160
98,174
99,55
100,165
101,166
102,96
103,60
104,125
105,126
106,118
107,189
108,50
109,76
110,129
111,35
112,100
113,100
114,97
115,75
116,172
117,40
118,99
119,130
120,200
121,160
122,236
123,110
124,170
125,79
126,65
127,248
128,85
129,250
130,79
131,62
132,69
133,120
134,125
135,85
136,135
137,199
138,102
139,331
140,600
141,100
142,159
143,100
144,48
145,127
146,89
147,40
148,75
149,50
150,102
151,60
152,55
153,290
154,50
155,109
156,100
157,280
158,18
159,125
160,100
161,120
162,100
163,70
164,65
165,72
166,75
167,67
168,120
169,90
170,63
171,60
172,150
173,91
174,90
175,95
176,100
177,200
178,129
179,99
180,334
181,69
182,60
183,55
184,99
185,235
186,45
187,90
188,200
189,280
190,239
191,99
192,70
193,60
194,75
195,84
196,75
197,85
198,225
199,42
200,100
201,110
202,549
203,350
204,80
205,270
206,259
207,60
208,55
209,100
210,70
211,150
212,90
213,1099
214,225
215,57
216,50
217,200
218,120
219,55
220,44
221,37
222,150
223,110
224,200
225,109
226,160
227,175
228,200
229,225
230,80
231,240
232,115
233,225
234,350
235,90
236,80
237,75
238,225
239,245
240,70
241,125
242,160
243,88
244,195
245,450
246,64
247,150
248,109
249,90
250,240
251,110
252,65
253,175
254,100
255,285
256,361
257,279
258,200
259,140
260,70
261,60
262,85
263,95
264,189
265,115
266,348
267,60
268,40
269,195
270,110
271,45
272,200
273,60
274,165
275,200
276,40
277,29
278,76
279,110
280,295
281,65
282,700
283,70
284,245
285,85
286,115
287,58
288,200
289,59
290,1000
291,125
292,55
293,55
294,179
295,50
296,100
297,40
298,200
299,69
300,85
301,50
302,46
303,50
304,41
305,75
306,85
307,37
308,140
309,186
310,75
311,71
312,150
313,100
314,75
315,50
316,175
317,47
318,112
319,47
320,42
321,80
322,65
323,75
324,55
325,39
326,115
327,165
328,40
329,136
330,80
331,54
332,150
333,85
334,55
335,40
336,140
337,40
338,100
339,179
340,100
341,100
342,60
343,30
344,110
345,150
346,69
347,100
348,155
349,70
350,180
351,150
352,150
353,150
354,60
355,70
356,150
357,78
358,175
359,53
360,70
361,90
362,65
363,350
364,225
365,66
366,139
367,225
368,100
369,25
370,95
371,143
372,93
373,119
374,200
375,95
376,110
377,175
378,69
379,250
380,300
381,46
382,70
383,250
384,54
385,240
386,75
387,120
388,100
389,200
390,250
391,165
392,50
393,115
394,125
395,250
396,77
397,250
398,89
399,50
400,65
401,299
402,800
403,45
404,220
405,75
406,95
407,103
408,125
409,285
410,250
411,155
412,100
413,84
414,300
415,89
416,1200
417,207
418,47
419,185
420,250
421,228
422,219
423,39
424,180
425,200
426,135
427,35
428,150
429,76
430,190
431,42
432,30
433,299
434,60
435,50
436,52
437,125
438,115
439,999
440,42
441,55
442,149
443,149
444,48
445,100
446,240
447,151
448,600
449,110
450,67
451,317
452,160
453,130
454,200
455,40
456,199
457,24
458,80
459,88
460,40
461,123
462,300
463,40
464,300
465,33
466,85
467,129
468,75
469,400
470,158
471,60
472,70
473,44
474,120
475,89
476,99
477,250
478,140
479,250
480,95
481,135
482,120
483,150
484,100
485,250
486,65
487,100
488,110
489,255
490,68
491,399
492,59
493,60
494,49
495,450
496,159
497,70
498,737
499,159
500,86
501,130
502,90
503,300
504,75
505,40
506,179
507,100
508,150
509,90
510,58
511,125
512,65
513,40
514,55
515,125
516,65
517,110
518,58
519,180
520,120
521,115
522,53
523,320
524,80
525,65
526,583
527,80
528,65
529,210
530,32
531,280
532,29
533,120
534,99
535,105
536,255
537,160
538,130
539,200
540,199
541,299
542,199
543,58
544,95
545,50
546,75
547,200
548,140
549,70
550,105
551,145
552,40
553,40
554,150
555,275
556,130
557,75
558,214
559,140
560,99
561,125
562,150
563,55
564,90
565,52
566,120
567,225
568,190
569,250
570,110
571,250
572,450
573,90
574,195
575,220
576,55
577,118
578,500
579,95
580,185
581,120
582,499
583,100
584,106
585,120
586,100
587,120
588,189
589,232
590,50
591,129
592,42
593,210
594,150
595,180
596,55
597,150
598,75
599,50
600,250
601,250
602,265
603,325
604,42
605,150
606,140
607,45
608,142
609,100
610,50
611,73
612,110
613,55
614,200
615,55
616,250
617,300
618,119
619,150
620,139
621,60
622,530
623,130
624,55
625,180
626,500
627,70
628,80
629,111
630,115
631,100
632,40
633,85
634,55
635,25
636,150
637,80
638,42
639,200
640,65
641,68
642,240
643,89
644,120
645,105
646,50
647,75
648,99
649,254
650,205
651,70
652,66
653,86
654,100
655,40
656,100
657,294
658,50
659,109
660,47
661,90
662,165
663,75
664,45
665,750
666,82
667,105
668,115
669,335
670,50
671,78
672,45
673,85
674,190
675,198
676,205
677,250
678,195
679,33
680,48
681,249
682,150
683,75
684,110
685,100
686,105
687,125
688,85
689,155
690,200
691,300
692,182
693,300
694,195
695,150
696,99
697,85
698,79
699,250
700,110
701,40
702,145
703,75
704,99
705,72
706,75
707,125
708,126
709,42
710,95
711,165
712,228
713,290
714,49
715,850
716,99
717,82
718,100
719,350
720,137
721,130
722,350
723,29
724,50
725,75
726,100
727,70
728,60
729,72
730,42
731,45
732,65
733,65
734,45
735,80
736,130
737,106
738,200
739,120
740,50
741,25
742,140
743,60
744,499
745,75
746,30
747,150
748,195
749,75
750,250
