id,latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,Private_room,Entire_home/apt
105,40.72614,-73.94813,3,3,0.06,1,110,0,1
106,40.72203,-73.98986,1,2,0.08,3,0,1,0
107,40.75977,-73.98763000000002,2,57,1.18,1,9,0,1
108,40.84943,-73.93146,1,14,0.23,1,0,1,0
109,40.7308,-73.98619000000002,30,4,0.13,2,0,1,0
110,40.72533,-73.94014,30,1,0.07,52,340,0,1
111,40.61609,-73.95893000000002,1,2,0.11,1,0,1,0
112,40.75141,-73.8967,1,0,0.0,1,0,1,0
113,40.81668,-73.94407,1,3,0.09,1,0,1,0
114,40.6376,-73.97386,1,0,0.0,1,0,1,0
115,40.76191,-73.99199,7,0,0.0,1,0,1,0
116,40.72186,-73.99696,2,8,1.98,1,42,0,1
117,40.70051,-73.92204,1,1,0.37,1,5,1,0
118,40.76479000000001,-73.98455,30,8,0.14,8,107,0,1
119,40.73836,-74.00128000000002,8,6,1.13,1,1,0,1
120,40.76752000000001,-73.98640999999998,3,71,5.49,2,95,0,1
121,40.70267,-73.9364,4,68,2.26,1,16,0,1
122,40.70702,-74.01087,2,9,2.52,327,347,0,1
123,40.79474,-73.9383,3,26,0.73,1,5,0,1
124,40.6837,-73.9511,5,53,2.43,3,267,0,1
125,40.84905,-73.93951,3,0,0.0,5,18,1,0
126,40.72152,-73.97999,2,4,0.1,2,1,1,0
127,40.70582,-74.01111,2,9,2.48,327,284,0,1
128,40.6375,-74.07654000000002,1,0,0.0,2,359,1,0
129,40.72935,-73.99054,2,10,0.97,1,188,0,1
130,40.68148,-73.93145,1,0,0.0,1,0,1,0
131,40.67939000000001,-73.94187,1,5,2.73,1,66,1,0
132,40.76424,-73.98916,1,8,6.32,7,357,0,0
133,40.80237,-73.96695,20,0,0.0,2,95,0,1
134,40.63961,-73.93281,2,56,4.22,2,332,0,1
135,40.80602,-73.95362,2,233,3.12,1,72,1,0
136,40.7417,-73.9978,3,31,0.63,1,0,0,1
137,40.73844,-73.95456,3,116,1.56,28,36,0,1
138,40.74091,-73.98271,1,3,0.07,1,0,0,1
139,40.73474,-73.99526999999998,7,0,0.0,1,189,0,1
140,40.73756,-74.00755,5,7,0.84,1,210,0,1
141,40.80739000000001,-73.95918,1,5,0.08,1,0,0,1
142,40.77477,-73.97958,1,7,2.56,1,302,1,0
143,40.84963,-73.9372,2,15,1.39,1,48,0,1
144,40.65452,-73.9596,2,55,1.12,1,0,1,0
145,40.77672000000001,-73.90878000000002,2,12,0.25,2,0,0,1
146,40.68245,-73.95223,1,3,0.45,1,48,1,0
147,40.70384,-73.92232,2,1,1.0,1,16,1,0
148,40.67653,-73.95793,1,13,0.51,1,0,1,0
149,40.70114,-73.91879,30,1,0.45,17,365,1,0
150,40.71966,-73.98184,2,2,0.3,1,0,0,1
151,40.70383,-73.91171,2,2,0.29,1,0,1,0
152,40.6771,-73.97174,2,21,3.6,2,0,1,0
153,40.80879,-73.94126999999997,1,77,1.25,1,252,0,1
154,40.74826,-73.94633,180,69,0.79,1,0,1,0
155,40.75523,-73.96367,3,7,0.53,2,0,1,0
156,40.80947000000001,-73.96356999999998,3,0,0.0,1,0,0,1
157,40.77812,-73.98066999999998,1,1,0.02,1,0,0,1
158,40.68948,-73.93528,1,0,0.0,1,0,1,0
159,40.72672,-73.94054,3,4,0.28,1,0,0,0
160,40.64351,-74.01848000000003,2,1,0.06,1,365,1,0
161,40.7272,-73.95134,3,2,0.05,1,0,0,1
162,40.74196,-73.92135999999998,3,4,0.34,1,326,0,1
163,40.71451,-73.95068,5,0,0.0,1,0,1,0
164,40.75734,-73.91365,1,12,2.55,5,149,1,0
165,40.68887,-73.97021,1,8,3.93,2,0,1,0
166,40.76349,-73.92577,1,0,0.0,1,359,1,0
167,40.74714,-73.99117,1,0,0.0,3,323,0,0
168,40.65335,-73.96257,3,13,0.28,2,327,0,1
169,40.73565,-73.98056,30,5,0.16,1,154,0,1
170,40.73331,-73.98229,1,3,0.07,1,0,1,0
171,40.63404,-74.0072,1,20,1.52,7,177,1,0
172,40.66953,-73.9493,2,1,0.04,1,0,0,1
173,40.68606,-73.95832,2,16,1.7,1,10,0,1
174,40.65059,-73.94506,3,1,0.11,1,179,1,0
175,40.6889,-73.92469,3,134,2.0,1,281,0,1
176,40.7245,-73.95022,14,1,0.04,1,0,0,1
177,40.72364,-73.99577,1,1,0.05,1,0,0,1
178,40.77751,-73.95198,2,25,1.09,1,0,0,1
179,40.73734,-73.87215,4,50,1.85,2,60,0,1
180,40.76143,-73.98533,30,0,0.0,232,296,0,1
181,40.74813,-73.93852,5,4,0.53,1,0,1,0
182,40.70021,-73.92241,3,1,0.02,1,0,1,0
183,40.70031,-73.91718,1,0,0.0,1,0,1,0
184,40.63331,-74.01975,5,0,0.0,2,37,1,0
185,40.77823,-73.97636999999997,6,27,0.27,1,199,0,1
186,40.60382,-74.01083,4,17,0.65,2,17,1,0
187,40.69576,-73.94082,2,51,0.86,1,179,0,1
188,40.71595,-73.96467,1,4,3.08,1,72,0,1
189,40.75762,-73.9144,2,0,0.0,1,0,0,1
190,40.75956,-73.98512,30,0,0.0,121,363,0,1
191,40.81545,-73.95806,1,2,0.09,1,35,1,0
192,40.72594,-73.95174,7,2,0.05,1,0,1,0
193,40.67887,-73.79243000000002,2,11,1.09,1,157,1,0
194,40.75732,-73.82075,1,25,2.31,9,360,1,0
195,40.79481,-73.96437,6,3,0.37,1,6,1,0
196,40.78781,-73.94549,3,0,0.0,1,0,1,0
197,40.6437,-73.96769,7,3,0.18,3,0,1,0
198,40.68554,-73.98924,4,95,1.26,1,251,0,1
199,40.70492,-73.94258,3,8,0.33,1,35,1,0
200,40.79806,-73.96167,1,1,0.03,2,0,1,0
201,40.68392,-73.92123000000002,2,9,0.96,2,41,0,1
202,40.73081,-73.98876,5,8,4.29,1,155,0,1
203,40.73148,-73.95929,3,1,0.02,1,0,0,1
204,40.72746,-73.98781,4,11,0.44,1,0,0,1
205,40.79093,-73.97528,7,0,0.0,1,0,0,1
206,40.80473,-73.9532,8,17,0.17,1,343,0,1
207,40.75842,-73.99276,2,0,0.0,1,0,1,0
208,40.70909,-73.9256,1,1,0.02,1,0,1,0
209,40.75631,-73.98383000000003,1,1,1.0,9,317,1,0
210,40.71697,-73.95919,1,19,0.41,1,0,1,0
211,40.73926,-73.98758000000002,1,1,0.02,1,0,0,1
212,40.68662,-73.97601999999998,4,32,0.67,1,295,1,0
213,40.73655,-73.99618000000002,31,3,2.31,1,193,0,1
214,40.79527,-73.96486,2,0,0.0,1,0,0,1
215,40.68793,-73.95246,30,1,0.03,43,365,1,0
216,40.80348,-73.95775,30,1,0.17,6,304,1,0
217,40.75827,-73.98825,5,4,0.1,1,365,1,0
218,40.73113,-74.00314,4,1,0.03,1,0,0,1
219,40.69688,-73.93448000000002,14,2,0.06,1,0,1,0
220,40.68037,-73.93821,3,4,0.28,1,0,1,0
221,40.70216,-73.92928,2,1,0.04,1,0,1,0
222,40.73104,-73.99956999999998,12,16,0.22,1,35,0,1
223,40.70367,-73.91063,1,3,0.28,1,365,1,0
224,40.7117,-73.9624,3,40,2.3,2,279,0,1
225,40.71287,-73.98685,3,83,1.57,2,355,1,0
226,40.66812,-73.99022,30,1,1.0,2,39,1,0
227,40.65948,-73.90084,3,56,3.0,2,288,0,1
228,40.71372,-73.96325999999998,1,63,2.29,1,270,0,1
229,40.73373,-73.98962,30,0,0.0,87,347,0,1
230,40.68438,-73.95688,2,64,2.73,3,116,1,0
231,40.76118,-73.98625,30,0,0.0,232,239,0,1
232,40.77282,-73.9808,10,1,0.03,1,0,1,0
233,40.69481,-73.98422,1,15,0.59,1,87,0,1
234,40.73785,-73.99214,2,0,0.0,2,0,1,0
235,40.77886,-73.95139,7,1,0.67,6,0,1,0
236,40.80541,-73.93658,1,54,3.74,3,180,1,0
237,40.72733,-73.86046999999998,1,2,2.0,1,1,0,1
238,40.75734,-73.9324,2,1,1.0,1,261,0,1
239,40.76996,-73.95875,1,3,0.06,1,0,0,1
240,40.71568,-73.94415,2,16,0.85,1,3,1,0
241,40.68519000000001,-73.94176,2,111,3.67,1,255,0,1
242,40.7771,-73.97729,3,36,0.93,1,318,0,1
243,40.73619,-73.98021999999997,18,0,0.0,1,33,1,0
244,40.78824,-73.94686999999998,1,112,2.38,1,262,0,1
245,40.69246,-73.93427,1,0,0.0,1,179,1,0
246,40.68683,-73.96571999999998,6,2,0.25,1,250,1,0
247,40.73884,-73.99767,1,1,0.04,1,0,1,0
248,40.82982,-73.94660999999998,1,1,0.16,6,41,1,0
249,40.79591,-73.96204,2,9,0.62,3,181,1,0
250,40.67245,-73.94608000000002,5,57,2.83,1,179,0,1
251,40.75226,-73.94089,1,9,0.19,1,0,0,1
252,40.80173,-73.94035,2,11,0.83,1,365,1,0
253,40.75562,-73.99459,36,0,0.0,1,0,0,1
254,40.8481,-73.93585,3,2,0.06,1,0,0,1
255,40.74112,-73.99483000000002,30,0,0.0,232,283,0,1
256,40.7388,-73997.0,30,0,0.0,232,157,0,1
257,40.76792,-73.98453,1,12,3.27,1,0,0,1
258,40.67419,-73.88123,2,30,3.85,2,76,0,1
259,40.78236,-73.82092,1,9,1.64,1,204,0,1
260,40.68042,-73.85515,3,1,0.3,3,53,0,1
261,40.70596,-73.92182,1,83,3.15,3,175,1,0
262,40.66655,-73.95005,2,7,0.99,2,27,1,0
263,40.69555,-73.93069,1,81,2.42,4,193,0,1
264,40.76274,-73.99118,31,0,0.0,1,237,0,1
265,40.69084,-73.93079,2,214,4.07,2,108,0,1
266,40.73823,-73.98343,30,0,0.0,232,331,0,1
267,40.70422,-73.90978,1,0,0.0,1,0,1,0
268,40.71049,-73.94515,1,1,0.02,1,0,1,0
269,40.72884000000001,-73.98548000000002,2,7,0.19,1,0,0,1
270,40.8058,-73.9647,10,0,0.0,1,0,0,1
271,40.69552,-73.94835,7,11,0.64,1,0,1,0
272,40.73495,-74.00583,2,0,0.0,1,32,1,0
273,40.82258,-73.95418000000002,2,67,0.88,4,117,1,0
274,40.6783,-74.00135,2,150,1.4,3,342,0,1
275,40.70658,-74.01035999999998,2,13,2.81,327,352,1,0
276,40.71329,-73.99047,1,88,1.53,4,197,0,0
277,40.8987,-73.86389,1,81,4.93,4,192,1,0
278,40.61518,-73.98874,30,28,0.44,1,282,0,1
279,40.82245,-73.90875,2,19,0.97,1,0,0,1
280,40.70606,-74.0054,1,54,3.95,6,117,0,1
281,40.82164,-73.90163000000003,3,2,0.11,1,0,1,0
282,40.76605,-73.99193000000002,2,0,0.0,1,304,0,1
283,40.73057,-73.95023,2,8,0.17,1,0,1,0
284,40.73389,-74.00086,60,12,0.75,1,13,0,1
285,40.71162,-73.95631,3,12,0.58,2,289,1,0
286,40.74274000000001,-73.97918,1,160,7.43,1,15,1,0
287,40.71198,-73.9582,4,9,0.48,1,0,1,0
